Time(s)  1ch(mV)  2ch(mV)  3ch(mV)
0.000000   -0.15   -0.13    0.04
0.001000   -0.15   -0.13    0.05
0.002000   -0.16   -0.14    0.04
0.003000   -0.17   -0.14    0.05
0.004000   -0.17   -0.15    0.05
0.005000   -0.16   -0.14    0.04
0.006000   -0.16   -0.15    0.04
0.007000   -0.16   -0.15    0.04
0.008000   -0.16   -0.16    0.02
0.009000   -0.15   -0.17    0.01
0.010000   -0.15   -0.18    0.00
0.011000   -0.15   -0.19   -0.01
0.012000   -0.13   -0.21   -0.04
0.013000   -0.15   -0.24   -0.06
0.014000   -0.17   -0.26   -0.06
0.015000   -0.17   -0.24   -0.03
0.016000   -0.17   -0.21   -0.00
0.017000   -0.19   -0.19    0.03
0.018000   -0.20   -0.17    0.07
0.019000   -0.22   -0.17    0.08
0.020000   -0.21   -0.16    0.08
0.021000   -0.19   -0.15    0.07
0.022000   -0.17   -0.13    0.06
0.023000   -0.12   -0.11    0.03
0.024000   -0.06   -0.10   -0.02
0.025000    0.01   -0.08   -0.07
0.026000    0.06   -0.07   -0.11
0.027000    0.12   -0.06   -0.16
0.028000    0.16   -0.05   -0.19
0.029000    0.23   -0.02   -0.24
0.030000    0.28    0.01   -0.26
0.031000    0.26    0.04   -0.20
0.032000    0.21    0.08   -0.11
0.033000    0.15    0.11   -0.02
0.034000    0.12    0.14    0.04
0.035000    0.11    0.18    0.09
0.036000    0.13    0.22    0.11
0.037000    0.17    0.26    0.10
0.038000    0.24    0.32    0.09
0.039000    0.32    0.37    0.06
0.040000    0.38    0.41    0.04
0.041000    0.42    0.46    0.05
0.042000    0.47    0.55    0.07
0.043000    0.54    0.64    0.11
0.044000    0.59    0.73    0.14
0.045000    0.62    0.80    0.20
0.046000    0.63    0.89    0.27
0.047000    0.62    0.96    0.35
0.048000    0.59    1.03    0.45
0.049000    0.55    1.10    0.55
0.050000    0.54    1.16    0.63
0.051000    0.53    1.22    0.69
0.052000    0.53    1.25    0.74
0.053000    0.47    1.26    0.79
0.054000    0.40    1.25    0.85
0.055000    0.32    1.21    0.91
0.056000    0.22    1.16    0.94
0.057000    0.15    1.11    0.96
0.058000    0.07    1.04    0.99
0.059000   -0.04    0.96    1.01
0.060000   -0.13    0.87    1.02
0.061000   -0.23    0.77    1.02
0.062000   -0.30    0.67    0.98
0.063000   -0.34    0.61    0.96
0.064000   -0.38    0.54    0.93
0.065000   -0.42    0.47    0.89
0.066000   -0.46    0.38    0.85
0.067000   -0.53    0.28    0.83
0.068000   -0.60    0.20    0.81
0.069000   -0.68    0.12    0.81
0.070000   -0.75    0.06    0.83
0.071000   -0.80    0.02    0.83
0.072000   -0.80    0.00    0.82
0.073000   -0.80   -0.01    0.80
0.074000   -0.80   -0.04    0.78
0.075000   -0.80   -0.06    0.75
0.076000   -0.80   -0.09    0.73
0.077000   -0.80   -0.11    0.70
0.078000   -0.78   -0.12    0.68
0.079000   -0.76   -0.13    0.64
0.080000   -0.76   -0.16    0.62
0.081000   -0.77   -0.20    0.59
0.082000   -0.76   -0.24    0.53
0.083000   -0.73   -0.27    0.47
0.084000   -0.71   -0.30    0.43
0.085000   -0.69   -0.34    0.37
0.086000   -0.65   -0.37    0.31
0.087000   -0.61   -0.38    0.25
0.088000   -0.60   -0.39    0.23
0.089000   -0.61   -0.40    0.22
0.090000   -0.60   -0.40    0.21
0.091000   -0.57   -0.39    0.21
0.092000   -0.54   -0.37    0.20
0.093000   -0.52   -0.36    0.18
0.094000   -0.49   -0.37    0.14
0.095000   -0.45   -0.37    0.10
0.096000   -0.38   -0.36    0.04
0.097000   -0.31   -0.33   -0.00
0.098000   -0.26   -0.30   -0.02
0.099000   -0.20   -0.28   -0.05
0.100000   -0.13   -0.26   -0.10
0.101000   -0.11   -0.25   -0.12
0.102000   -0.11   -0.24   -0.11
0.103000   -0.11   -0.24   -0.11
0.104000   -0.11   -0.24   -0.11
0.105000   -0.11   -0.24   -0.10
0.106000   -0.11   -0.24   -0.11
0.107000   -0.10   -0.25   -0.12
0.108000   -0.10   -0.26   -0.13
0.109000   -0.11   -0.26   -0.13
0.110000   -0.11   -0.27   -0.13
0.111000   -0.11   -0.27   -0.13
0.112000   -0.10   -0.25   -0.12
0.113000   -0.11   -0.23   -0.11
0.114000   -0.11   -0.23   -0.09
0.115000   -0.11   -0.22   -0.09
0.116000   -0.09   -0.22   -0.10
0.117000   -0.09   -0.21   -0.11
0.118000   -0.07   -0.19   -0.11
0.119000   -0.04   -0.17   -0.12
0.120000    0.01   -0.16   -0.15
0.121000    0.05   -0.16   -0.20
0.122000    0.07   -0.16   -0.22
0.123000    0.07   -0.16   -0.21
0.124000    0.05   -0.18   -0.20
0.125000    0.03   -0.19   -0.20
0.126000    0.03   -0.21   -0.21
0.127000    0.03   -0.21   -0.22
0.128000    0.03   -0.24   -0.24
0.129000    0.01   -0.25   -0.23
0.130000   -0.02   -0.24   -0.20
0.131000   -0.04   -0.23   -0.17
0.132000   -0.06   -0.23   -0.13
0.133000   -0.08   -0.22   -0.11
0.134000   -0.10   -0.22   -0.10
0.135000   -0.08   -0.20   -0.10
0.136000   -0.06   -0.19   -0.10
0.137000   -0.05   -0.18   -0.10
0.138000   -0.03   -0.16   -0.10
0.139000   -0.02   -0.15   -0.11
0.140000    0.02   -0.13   -0.12
0.141000    0.03   -0.13   -0.14
0.142000    0.03   -0.13   -0.14
0.143000    0.05   -0.12   -0.15
0.144000    0.08   -0.11   -0.17
0.145000    0.12   -0.10   -0.20
0.146000    0.16   -0.09   -0.23
0.147000    0.20   -0.09   -0.26
0.148000    0.22   -0.09   -0.28
0.149000    0.23   -0.10   -0.30
0.150000    0.22   -0.10   -0.29
0.151000    0.20   -0.11   -0.28
0.152000    0.16   -0.11   -0.24
0.153000    0.10   -0.13   -0.20
0.154000    0.05   -0.14   -0.17
0.155000    0.04   -0.13   -0.15
0.156000    0.04   -0.13   -0.14
0.157000    0.02   -0.13   -0.12
0.158000    0.02   -0.13   -0.11
0.159000    0.00   -0.13   -0.11
0.160000   -0.01   -0.15   -0.11
0.161000   -0.01   -0.15   -0.11
0.162000   -0.02   -0.16   -0.12
0.163000   -0.02   -0.18   -0.13
0.164000   -0.03   -0.19   -0.14
0.165000   -0.01   -0.18   -0.15
0.166000    0.01   -0.18   -0.16
0.167000    0.01   -0.17   -0.17
0.168000    0.03   -0.18   -0.19
0.169000    0.05   -0.18   -0.21
0.170000    0.08   -0.17   -0.23
0.171000    0.09   -0.17   -0.23
0.172000    0.10   -0.15   -0.22
0.173000    0.11   -0.14   -0.23
0.174000    0.14   -0.12   -0.24
0.175000    0.17   -0.09   -0.23
0.176000    0.18   -0.08   -0.23
0.177000    0.18   -0.08   -0.23
0.178000    0.19   -0.07   -0.23
0.179000    0.19   -0.07   -0.22
0.180000    0.18   -0.06   -0.21
0.181000    0.16   -0.06   -0.20
0.182000    0.12   -0.08   -0.17
0.183000    0.12   -0.08   -0.17
0.184000    0.12   -0.09   -0.18
0.185000    0.11   -0.10   -0.18
0.186000    0.11   -0.11   -0.19
0.187000    0.10   -0.13   -0.20
0.188000    0.08   -0.16   -0.21
0.189000    0.06   -0.18   -0.21
0.190000    0.06   -0.19   -0.22
0.191000    0.05   -0.20   -0.22
0.192000    0.06   -0.20   -0.22
0.193000    0.05   -0.18   -0.20
0.194000    0.05   -0.16   -0.19
0.195000    0.09   -0.13   -0.20
0.196000    0.15   -0.10   -0.23
0.197000    0.19   -0.07   -0.25
0.198000    0.23   -0.04   -0.26
0.199000    0.26   -0.03   -0.28
0.200000    0.30   -0.03   -0.31
0.201000    0.32   -0.05   -0.34
0.202000    0.30   -0.06   -0.34
0.203000    0.25   -0.06   -0.29
0.204000    0.22   -0.05   -0.25
0.205000    0.19   -0.06   -0.22
0.206000    0.14   -0.06   -0.18
0.207000    0.12   -0.06   -0.16
0.208000    0.11   -0.07   -0.15
0.209000    0.08   -0.08   -0.14
0.210000    0.07   -0.08   -0.13
0.211000    0.07   -0.09   -0.13
0.212000    0.07   -0.09   -0.13
0.213000    0.07   -0.09   -0.13
0.214000    0.08   -0.08   -0.14
0.215000    0.09   -0.09   -0.15
0.216000    0.11   -0.09   -0.16
0.217000    0.13   -0.08   -0.18
0.218000    0.16   -0.08   -0.20
0.219000    0.18   -0.08   -0.23
0.220000    0.22   -0.06   -0.25
0.221000    0.24   -0.05   -0.27
0.222000    0.23   -0.06   -0.27
0.223000    0.22   -0.07   -0.26
0.224000    0.22   -0.08   -0.26
0.225000    0.21   -0.09   -0.26
0.226000    0.18   -0.10   -0.25
0.227000    0.15   -0.11   -0.22
0.228000    0.11   -0.11   -0.20
0.229000    0.11   -0.10   -0.18
0.230000    0.10   -0.10   -0.17
0.231000    0.09   -0.10   -0.16
0.232000    0.09   -0.11   -0.16
0.233000    0.08   -0.12   -0.17
0.234000    0.08   -0.13   -0.17
0.235000    0.06   -0.15   -0.18
0.236000    0.05   -0.16   -0.18
0.237000    0.06   -0.16   -0.19
0.238000    0.05   -0.17   -0.19
0.239000    0.04   -0.18   -0.19
0.240000    0.04   -0.19   -0.20
0.241000    0.06   -0.18   -0.21
0.242000    0.09   -0.15   -0.23
0.243000    0.15   -0.13   -0.25
0.244000    0.20   -0.10   -0.27
0.245000    0.24   -0.07   -0.30
0.246000    0.28   -0.06   -0.32
0.247000    0.30   -0.06   -0.33
0.248000    0.30   -0.07   -0.34
0.249000    0.28   -0.07   -0.33
0.250000    0.27   -0.05   -0.30
0.251000    0.27   -0.03   -0.28
0.252000    0.30   -0.01   -0.28
0.253000    0.29   -0.02   -0.28
0.254000    0.29   -0.02   -0.28
0.255000    0.28   -0.01   -0.27
0.256000    0.29    0.01   -0.25
0.257000    0.27    0.01   -0.23
0.258000    0.26    0.01   -0.22
0.259000    0.25    0.00   -0.22
0.260000    0.26   -0.00   -0.23
0.261000    0.24   -0.02   -0.23
0.262000    0.22   -0.04   -0.23
0.263000    0.21   -0.05   -0.24
0.264000    0.21   -0.06   -0.24
0.265000    0.22   -0.07   -0.26
0.266000    0.23   -0.10   -0.30
0.267000    0.26   -0.10   -0.33
0.268000    0.26   -0.11   -0.34
0.269000    0.22   -0.14   -0.32
0.270000    0.20   -0.14   -0.31
0.271000    0.21   -0.12   -0.30
0.272000    0.23   -0.09   -0.29
0.273000    0.25   -0.06   -0.28
0.274000    0.26   -0.03   -0.27
0.275000    0.27   -0.01   -0.26
0.276000    0.28   -0.01   -0.26
0.277000    0.27   -0.02   -0.27
0.278000    0.27   -0.02   -0.26
0.279000    0.28   -0.01   -0.27
0.280000    0.28   -0.01   -0.27
0.281000    0.28   -0.02   -0.27
0.282000    0.26   -0.03   -0.26
0.283000    0.25   -0.04   -0.26
0.284000    0.26   -0.04   -0.27
0.285000    0.28   -0.03   -0.29
0.286000    0.30   -0.04   -0.32
0.287000    0.31   -0.04   -0.32
0.288000    0.31   -0.05   -0.34
0.289000    0.31   -0.06   -0.35
0.290000    0.31   -0.07   -0.36
0.291000    0.30   -0.08   -0.36
0.292000    0.30   -0.08   -0.35
0.293000    0.30   -0.07   -0.34
0.294000    0.29   -0.07   -0.33
0.295000    0.29   -0.07   -0.33
0.296000    0.30   -0.07   -0.34
0.297000    0.32   -0.06   -0.34
0.298000    0.32   -0.05   -0.34
0.299000    0.31   -0.06   -0.33
0.300000    0.31   -0.06   -0.33
0.301000    0.32   -0.05   -0.34
0.302000    0.33   -0.03   -0.34
0.303000    0.33   -0.02   -0.32
0.304000    0.33   -0.03   -0.33
0.305000    0.35   -0.03   -0.36
0.306000    0.37   -0.03   -0.38
0.307000    0.40   -0.02   -0.39
0.308000    0.40   -0.04   -0.40
0.309000    0.37   -0.04   -0.38
0.310000    0.34   -0.04   -0.36
0.311000    0.32   -0.05   -0.33
0.312000    0.31   -0.05   -0.31
0.313000    0.28   -0.05   -0.29
0.314000    0.26   -0.04   -0.27
0.315000    0.27   -0.04   -0.28
0.316000    0.31   -0.02   -0.31
0.317000    0.34   -0.01   -0.33
0.318000    0.37   -0.00   -0.35
0.319000    0.39    0.01   -0.35
0.320000    0.40    0.01   -0.36
0.321000    0.42    0.02   -0.37
0.322000    0.43    0.02   -0.39
0.323000    0.44    0.03   -0.39
0.324000    0.46    0.03   -0.40
0.325000    0.46    0.03   -0.41
0.326000    0.44    0.03   -0.38
0.327000    0.42    0.03   -0.36
0.328000    0.40    0.02   -0.35
0.329000    0.38    0.02   -0.34
0.330000    0.36    0.01   -0.33
0.331000    0.35    0.00   -0.33
0.332000    0.35    0.00   -0.32
0.333000    0.35    0.01   -0.32
0.334000    0.35    0.01   -0.32
0.335000    0.40    0.02   -0.36
0.336000    0.45    0.03   -0.39
0.337000    0.46    0.04   -0.40
0.338000    0.47    0.05   -0.39
0.339000    0.47    0.05   -0.39
0.340000    0.47    0.04   -0.41
0.341000    0.48    0.03   -0.42
0.342000    0.46    0.02   -0.42
0.343000    0.45    0.01   -0.41
0.344000    0.40   -0.03   -0.39
0.345000    0.34   -0.07   -0.38
0.346000    0.29   -0.09   -0.35
0.347000    0.24   -0.11   -0.32
0.348000    0.20   -0.13   -0.30
0.349000    0.18   -0.13   -0.28
0.350000    0.21   -0.11   -0.28
0.351000    0.26   -0.06   -0.29
0.352000    0.30   -0.03   -0.30
0.353000    0.34   -0.01   -0.32
0.354000    0.37    0.00   -0.34
0.355000    0.41    0.02   -0.37
0.356000    0.46    0.04   -0.40
0.357000    0.50    0.06   -0.42
0.358000    0.54    0.08   -0.43
0.359000    0.53    0.08   -0.42
0.360000    0.51    0.08   -0.39
0.361000    0.45    0.07   -0.35
0.362000    0.37    0.05   -0.30
0.363000    0.32    0.02   -0.27
0.364000    0.29    0.00   -0.26
0.365000    0.27   -0.01   -0.25
0.366000    0.26   -0.02   -0.25
0.367000    0.25   -0.03   -0.25
0.368000    0.25   -0.05   -0.27
0.369000    0.25   -0.06   -0.29
0.370000    0.25   -0.08   -0.31
0.371000    0.26   -0.10   -0.33
0.372000    0.29   -0.09   -0.36
0.373000    0.33   -0.08   -0.39
0.374000    0.37   -0.07   -0.42
0.375000    0.41   -0.06   -0.44
0.376000    0.45   -0.05   -0.47
0.377000    0.46   -0.05   -0.49
0.378000    0.43   -0.05   -0.45
0.379000    0.37   -0.05   -0.40
0.380000    0.30   -0.07   -0.33
0.381000    0.23   -0.09   -0.29
0.382000    0.19   -0.09   -0.25
0.383000    0.17   -0.08   -0.22
0.384000    0.16   -0.08   -0.21
0.385000    0.15   -0.08   -0.21
0.386000    0.14   -0.10   -0.21
0.387000    0.15   -0.11   -0.22
0.388000    0.15   -0.12   -0.24
0.389000    0.15   -0.12   -0.25
0.390000    0.15   -0.12   -0.24
0.391000    0.14   -0.14   -0.25
0.392000    0.16   -0.14   -0.27
0.393000    0.17   -0.15   -0.29
0.394000    0.19   -0.15   -0.31
0.395000    0.19   -0.17   -0.32
0.396000    0.18   -0.18   -0.32
0.397000    0.19   -0.18   -0.33
0.398000    0.21   -0.17   -0.35
0.399000    0.21   -0.18   -0.36
0.400000    0.22   -0.18   -0.36
0.401000    0.21   -0.17   -0.36
0.402000    0.21   -0.18   -0.36
0.403000    0.21   -0.18   -0.36
0.404000    0.21   -0.16   -0.34
0.405000    0.20   -0.15   -0.32
0.406000    0.19   -0.15   -0.32
0.407000    0.18   -0.17   -0.32
0.408000    0.16   -0.19   -0.33
0.409000    0.17   -0.19   -0.33
0.410000    0.16   -0.19   -0.32
0.411000    0.14   -0.19   -0.31
0.412000    0.16   -0.19   -0.31
0.413000    0.15   -0.19   -0.31
0.414000    0.15   -0.19   -0.32
0.415000    0.16   -0.19   -0.32
0.416000    0.15   -0.19   -0.30
0.417000    0.11   -0.20   -0.28
0.418000    0.07   -0.21   -0.25
0.419000    0.03   -0.22   -0.22
0.420000   -0.01   -0.23   -0.19
0.421000   -0.04   -0.23   -0.16
0.422000   -0.06   -0.22   -0.15
0.423000   -0.05   -0.21   -0.14
0.424000   -0.03   -0.20   -0.14
0.425000   -0.02   -0.19   -0.14
0.426000   -0.02   -0.20   -0.15
0.427000   -0.02   -0.21   -0.16
0.428000   -0.02   -0.22   -0.18
0.429000    0.00   -0.22   -0.19
0.430000   -0.00   -0.24   -0.21
0.431000    0.02   -0.24   -0.23
0.432000    0.07   -0.21   -0.25
0.433000    0.10   -0.20   -0.27
0.434000    0.12   -0.20   -0.29
0.435000    0.14   -0.19   -0.30
0.436000    0.16   -0.18   -0.31
0.437000    0.19   -0.17   -0.33
0.438000    0.21   -0.16   -0.34
0.439000    0.21   -0.16   -0.33
0.440000    0.18   -0.16   -0.30
0.441000    0.16   -0.17   -0.29
0.442000    0.14   -0.16   -0.27
0.443000    0.12   -0.16   -0.24
0.444000    0.10   -0.15   -0.22
0.445000    0.09   -0.15   -0.21
0.446000    0.09   -0.15   -0.21
0.447000    0.08   -0.16   -0.21
0.448000    0.08   -0.17   -0.21
0.449000    0.08   -0.16   -0.22
0.450000    0.07   -0.16   -0.21
0.451000    0.06   -0.16   -0.20
0.452000    0.06   -0.17   -0.20
0.453000    0.05   -0.17   -0.20
0.454000    0.06   -0.17   -0.21
0.455000    0.06   -0.18   -0.21
0.456000    0.07   -0.19   -0.23
0.457000    0.05   -0.22   -0.24
0.458000    0.04   -0.23   -0.24
0.459000    0.05   -0.24   -0.26
0.460000    0.08   -0.23   -0.28
0.461000    0.11   -0.23   -0.31
0.462000    0.14   -0.21   -0.33
0.463000    0.18   -0.20   -0.36
0.464000    0.23   -0.19   -0.39
0.465000    0.24   -0.18   -0.39
0.466000    0.22   -0.17   -0.37
0.467000    0.21   -0.16   -0.34
0.468000    0.18   -0.17   -0.31
0.469000    0.14   -0.18   -0.28
0.470000    0.10   -0.19   -0.26
0.471000    0.08   -0.19   -0.24
0.472000    0.06   -0.21   -0.22
0.473000    0.04   -0.21   -0.21
0.474000    0.03   -0.22   -0.22
0.475000    0.04   -0.21   -0.22
0.476000    0.05   -0.20   -0.21
0.477000    0.05   -0.19   -0.21
0.478000    0.08   -0.18   -0.22
0.479000    0.09   -0.17   -0.23
0.480000    0.11   -0.15   -0.23
0.481000    0.12   -0.14   -0.23
0.482000    0.11   -0.16   -0.23
0.483000    0.10   -0.17   -0.25
0.484000    0.10   -0.18   -0.25
0.485000    0.10   -0.18   -0.25
0.486000    0.11   -0.17   -0.25
0.487000    0.11   -0.17   -0.25
0.488000    0.10   -0.17   -0.24
0.489000    0.07   -0.19   -0.23
0.490000    0.05   -0.20   -0.22
0.491000    0.03   -0.22   -0.23
0.492000    0.04   -0.22   -0.22
0.493000    0.05   -0.21   -0.23
0.494000    0.06   -0.19   -0.22
0.495000    0.06   -0.18   -0.22
0.496000    0.07   -0.17   -0.21
0.497000    0.09   -0.17   -0.23
0.498000    0.11   -0.16   -0.25
0.499000    0.14   -0.15   -0.27
0.500000    0.17   -0.14   -0.28
0.501000    0.21   -0.13   -0.32
0.502000    0.25   -0.13   -0.36
0.503000    0.30   -0.12   -0.40
0.504000    0.32   -0.11   -0.41
0.505000    0.33   -0.11   -0.43
0.506000    0.34   -0.12   -0.44
0.507000    0.32   -0.13   -0.43
0.508000    0.28   -0.14   -0.39
0.509000    0.22   -0.16   -0.35
0.510000    0.15   -0.17   -0.29
0.511000    0.08   -0.19   -0.24
0.512000    0.05   -0.19   -0.21
0.513000    0.04   -0.19   -0.20
0.514000    0.05   -0.18   -0.20
0.515000    0.06   -0.18   -0.21
0.516000    0.08   -0.18   -0.22
0.517000    0.07   -0.18   -0.22
0.518000    0.08   -0.19   -0.23
0.519000    0.10   -0.18   -0.25
0.520000    0.13   -0.18   -0.28
0.521000    0.13   -0.19   -0.29
0.522000    0.14   -0.18   -0.29
0.523000    0.15   -0.18   -0.30
0.524000    0.16   -0.18   -0.31
0.525000    0.15   -0.18   -0.30
0.526000    0.14   -0.17   -0.29
0.527000    0.13   -0.17   -0.27
0.528000    0.12   -0.17   -0.26
0.529000    0.11   -0.18   -0.26
0.530000    0.10   -0.20   -0.27
0.531000    0.10   -0.21   -0.28
0.532000    0.10   -0.21   -0.29
0.533000    0.10   -0.22   -0.30
0.534000    0.11   -0.23   -0.31
0.535000    0.13   -0.22   -0.33
0.536000    0.16   -0.20   -0.33
0.537000    0.20   -0.18   -0.35
0.538000    0.23   -0.15   -0.36
0.539000    0.25   -0.14   -0.36
0.540000    0.26   -0.13   -0.36
0.541000    0.26   -0.13   -0.37
0.542000    0.23   -0.15   -0.36
0.543000    0.20   -0.18   -0.35
0.544000    0.15   -0.19   -0.31
0.545000    0.12   -0.20   -0.29
0.546000    0.11   -0.20   -0.28
0.547000    0.10   -0.19   -0.27
0.548000    0.08   -0.20   -0.25
0.549000    0.06   -0.20   -0.23
0.550000    0.06   -0.19   -0.23
0.551000    0.08   -0.18   -0.23
0.552000    0.08   -0.18   -0.23
0.553000    0.06   -0.18   -0.21
0.554000    0.04   -0.18   -0.19
0.555000    0.04   -0.17   -0.18
0.556000    0.06   -0.16   -0.18
0.557000    0.06   -0.16   -0.19
0.558000    0.07   -0.15   -0.19
0.559000    0.08   -0.15   -0.20
0.560000    0.10   -0.14   -0.21
0.561000    0.12   -0.13   -0.21
0.562000    0.13   -0.12   -0.22
0.563000    0.13   -0.11   -0.22
0.564000    0.13   -0.11   -0.22
0.565000    0.13   -0.12   -0.22
0.566000    0.13   -0.12   -0.23
0.567000    0.13   -0.14   -0.24
0.568000    0.12   -0.15   -0.24
0.569000    0.13   -0.15   -0.26
0.570000    0.14   -0.16   -0.28
0.571000    0.15   -0.17   -0.29
0.572000    0.16   -0.17   -0.30
0.573000    0.17   -0.18   -0.32
0.574000    0.20   -0.18   -0.36
0.575000    0.24   -0.18   -0.40
0.576000    0.27   -0.17   -0.41
0.577000    0.24   -0.17   -0.38
0.578000    0.21   -0.16   -0.34
0.579000    0.18   -0.15   -0.30
0.580000    0.15   -0.15   -0.27
0.581000    0.12   -0.15   -0.25
0.582000    0.11   -0.16   -0.25
0.583000    0.10   -0.16   -0.24
0.584000    0.09   -0.17   -0.23
0.585000    0.08   -0.18   -0.24
0.586000    0.07   -0.19   -0.23
0.587000    0.03   -0.22   -0.23
0.588000   -0.00   -0.26   -0.23
0.589000    0.00   -0.27   -0.25
0.590000    0.00   -0.26   -0.25
0.591000    0.02   -0.26   -0.26
0.592000    0.05   -0.24   -0.26
0.593000    0.08   -0.21   -0.27
0.594000    0.11   -0.19   -0.28
0.595000    0.13   -0.19   -0.29
0.596000    0.15   -0.18   -0.30
0.597000    0.16   -0.18   -0.31
0.598000    0.15   -0.18   -0.30
0.599000    0.14   -0.19   -0.30
0.600000    0.15   -0.19   -0.31
0.601000    0.16   -0.18   -0.32
0.602000    0.17   -0.17   -0.32
0.603000    0.17   -0.17   -0.31
0.604000    0.16   -0.16   -0.28
0.605000    0.13   -0.16   -0.26
0.606000    0.12   -0.15   -0.24
0.607000    0.10   -0.16   -0.23
0.608000    0.09   -0.17   -0.23
0.609000    0.08   -0.18   -0.23
0.610000    0.09   -0.18   -0.25
0.611000    0.09   -0.19   -0.26
0.612000    0.10   -0.19   -0.25
0.613000    0.10   -0.18   -0.24
0.614000    0.10   -0.16   -0.24
0.615000    0.11   -0.15   -0.24
0.616000    0.13   -0.14   -0.24
0.617000    0.14   -0.14   -0.25
0.618000    0.18   -0.12   -0.29
0.619000    0.22   -0.12   -0.32
0.620000    0.24   -0.13   -0.35
0.621000    0.27   -0.14   -0.38
0.622000    0.30   -0.14   -0.43
0.623000    0.32   -0.16   -0.46
0.624000    0.32   -0.19   -0.48
0.625000    0.28   -0.21   -0.46
0.626000    0.22   -0.23   -0.43
0.627000    0.14   -0.27   -0.39
0.628000    0.07   -0.30   -0.34
0.629000    0.02   -0.30   -0.30
0.630000    0.00   -0.29   -0.27
0.631000   -0.00   -0.27   -0.24
0.632000    0.02   -0.24   -0.23
0.633000    0.04   -0.21   -0.23
0.634000    0.05   -0.19   -0.22
0.635000    0.08   -0.16   -0.22
0.636000    0.11   -0.13   -0.22
0.637000    0.14   -0.11   -0.22
0.638000    0.17   -0.09   -0.23
0.639000    0.18   -0.09   -0.24
0.640000    0.19   -0.09   -0.25
0.641000    0.20   -0.09   -0.26
0.642000    0.18   -0.11   -0.26
0.643000    0.18   -0.11   -0.27
0.644000    0.18   -0.12   -0.28
0.645000    0.19   -0.13   -0.29
0.646000    0.19   -0.14   -0.31
0.647000    0.19   -0.16   -0.32
0.648000    0.18   -0.18   -0.33
0.649000    0.18   -0.19   -0.34
0.650000    0.18   -0.19   -0.34
0.651000    0.19   -0.19   -0.34
0.652000    0.19   -0.19   -0.34
0.653000    0.18   -0.19   -0.34
0.654000    0.18   -0.18   -0.34
0.655000    0.20   -0.18   -0.35
0.656000    0.21   -0.17   -0.35
0.657000    0.21   -0.17   -0.35
0.658000    0.21   -0.16   -0.35
0.659000    0.23   -0.17   -0.36
0.660000    0.23   -0.16   -0.36
0.661000    0.23   -0.16   -0.37
0.662000    0.23   -0.16   -0.37
0.663000    0.23   -0.17   -0.37
0.664000    0.23   -0.18   -0.39
0.665000    0.23   -0.19   -0.40
0.666000    0.23   -0.20   -0.41
0.667000    0.21   -0.21   -0.41
0.668000    0.20   -0.23   -0.41
0.669000    0.19   -0.24   -0.41
0.670000    0.18   -0.25   -0.41
0.671000    0.18   -0.26   -0.42
0.672000    0.20   -0.25   -0.43
0.673000    0.22   -0.24   -0.44
0.674000    0.24   -0.22   -0.45
0.675000    0.25   -0.22   -0.45
0.676000    0.26   -0.22   -0.45
0.677000    0.26   -0.22   -0.46
0.678000    0.26   -0.22   -0.45
0.679000    0.25   -0.22   -0.45
0.680000    0.26   -0.21   -0.44
0.681000    0.25   -0.21   -0.43
0.682000    0.26   -0.21   -0.44
0.683000    0.26   -0.21   -0.44
0.684000    0.26   -0.21   -0.44
0.685000    0.25   -0.22   -0.44
0.686000    0.24   -0.23   -0.45
0.687000    0.22   -0.25   -0.44
0.688000    0.20   -0.27   -0.43
0.689000    0.18   -0.28   -0.43
0.690000    0.18   -0.29   -0.44
0.691000    0.17   -0.29   -0.44
0.692000    0.17   -0.30   -0.43
0.693000    0.16   -0.30   -0.42
0.694000    0.16   -0.30   -0.42
0.695000    0.15   -0.30   -0.43
0.696000    0.14   -0.32   -0.42
0.697000    0.12   -0.33   -0.43
0.698000    0.14   -0.32   -0.44
0.699000    0.15   -0.32   -0.45
0.700000    0.14   -0.32   -0.44
0.701000    0.11   -0.34   -0.43
0.702000    0.10   -0.36   -0.43
0.703000    0.10   -0.37   -0.44
0.704000    0.10   -0.39   -0.45
0.705000    0.10   -0.40   -0.47
0.706000    0.11   -0.40   -0.49
0.707000    0.12   -0.40   -0.50
0.708000    0.13   -0.41   -0.51
0.709000    0.12   -0.42   -0.52
0.710000    0.10   -0.44   -0.51
0.711000    0.08   -0.46   -0.52
0.712000    0.07   -0.48   -0.52
0.713000    0.04   -0.51   -0.52
0.714000    0.01   -0.53   -0.52
0.715000   -0.00   -0.54   -0.51
0.716000   -0.01   -0.54   -0.51
0.717000   -0.01   -0.55   -0.52
0.718000    0.01   -0.54   -0.53
0.719000    0.02   -0.55   -0.53
0.720000    0.02   -0.55   -0.54
0.721000    0.02   -0.56   -0.55
0.722000    0.03   -0.56   -0.56
0.723000    0.04   -0.57   -0.58
0.724000    0.03   -0.59   -0.59
0.725000    0.01   -0.63   -0.60
0.726000    0.00   -0.65   -0.63
0.727000    0.02   -0.68   -0.66
0.728000    0.03   -0.69   -0.69
0.729000    0.04   -0.72   -0.72
0.730000    0.03   -0.73   -0.73
0.731000    0.03   -0.75   -0.75
0.732000    0.04   -0.76   -0.77
0.733000    0.03   -0.79   -0.79
0.734000    0.03   -0.81   -0.81
0.735000    0.04   -0.83   -0.83
0.736000    0.04   -0.84   -0.84
